office,plan_no,area_code,title,location,type
Sai Kung & Islands District Planning Office,S/I-MWF/10,I-MWF,Mui Wo Fringe Outline Zoning Plan,Mui Wo Fringe,ROZP
Sai Kung & Islands District Planning Office,S/I-NP/6,I-NP,Ngong Ping Outline Zoning Plan,Ngong Ping,ROZP
Sai Kung & Islands District Planning Office,S/I-PTI/2,I-PTI,Po Toi Islands Outline Zoning Plan,Po Toi Islands,ROZP
Sai Kung & Islands District Planning Office,S/I-TH/1,I-TH,Tai Ho Outline Zoning Plan,Tai Ho,ROZP
Sai Kung & Islands District Planning Office,S/I-TCV/2,I-TCV,Tung Chung Valley Outline Zoning Plan,Tung Chung Valley,ROZP
Sai Kung & Islands District Planning Office,S/I-TOF/2,I-TOF,Tai O Fringe Outline Zoning Plan,Tai O Fringe,ROZP
Sai Kung & Islands District Planning Office,S/I-YO/2,I-YO,YI O Outling Zoning Plan,#VALUE!,ROZP
Sai Kung & Islands District Planning Office,S/SK-CWBN/6,SK-CWBN,Clear Water Bay Peninsula North Outline Zoning Plan,Clear Water Bay Peninsula North,ROZP
Sai Kung & Islands District Planning Office,S/SK-CWBS/2,SK-CWBS,Clear Water Bay Peninsula South Outline Zoning Plan,Clear Water Bay Peninsula South,ROZP
Sai Kung & Islands District Planning Office,S/SK-HC/11,SK-HC,Ho Chung Outline Zoning Plan,Ho Chung,ROZP
Sai Kung & Islands District Planning Office,S/SK-HH/8,SK-HH,Hebe Haven Outline Zoning Plan,Hebe Haven,ROZP
Sai Kung & Islands District Planning Office,S/SK-PK/11,SK-PK,Pak Kong & Sha Kok Mei Outline Zoning Plan,Pak Kong & Sha Kok Mei,ROZP
Sai Kung & Islands District Planning Office,S/SK-PL/3,SK-PL,Pak Lap Outline Zoning Plan,Pak Lap,ROZP
Sai Kung & Islands District Planning Office,S/SK-TA/2,SK-TA,Tung A and Pak A Outline Zoning Plan,Tung A and Pak A,ROZP
Sai Kung & Islands District Planning Office,S/SK-TLS/8,SK-TLS,Tseng Lan Shue Outline Zoning Plan,Tseng Lan Shue,ROZP
