area_code,location_edit,location,office,plan_no,title,type,map_index
TW-CLHFS,Chuen Lung and Ha Fa Shan,Chuen Lung and Ha Fa Shan,Tsuen Wan and West Kowloon District Planning Office,S/TW-CLHFS/1,Chuen Lung and Ha Fa Shan Outline Zoning Plan,ROZP,73
NE-CK,Chek Keng,Chek Keng,"Sha Tin, Tai Po & North District Planning Office",S/NE-CK/2,Chek Keng Outline Zoning Plan,ROZP,74
NE-CS,Cheung Sheung,Cheung Sheung,"Sha Tin, Tai Po & North District Planning Office",S/NE-CS/2,Cheung Sheung Outline Zoning Plan,ROZP,75
NE-FTA,Fu Tei Au & Sha Ling,Fu Tei Au & Sha Ling,"Sha Tin, Tai Po & North District Planning Office",S/NE-FTA/16,Fu Tei Au & Sha Ling Outline Zoning Plan,ROZP,76
NE-HH,Hoi Ha,Hoi Ha,"Sha Tin, Tai Po & North District Planning Office",S/NE-HH/3,Hoi Ha Outline Zoning Plan,ROZP,77
NE-HLH,Hung Lung Hang,Hung Lung Hang,"Sha Tin, Tai Po & North District Planning Office",S/NE-HLH/11,Hung Lung Hang Outline Zoning Plan,ROZP,78
NE-HT,Hok Tau,Hok Tau,"Sha Tin, Tai Po & North District Planning Office",S/NE-HT/5,Hok Tau Outline Zoning Plan,ROZP,79
NE-KLH,Kau Lung Hang,Kau Lung Hang,"Sha Tin, Tai Po & North District Planning Office",S/NE-KLH/11,Kau Lung Hang Outline Zoning Plan,ROZP,80
NE-KLW,Ko Lau Wan,Ko Lau Wan,"Sha Tin, Tai Po & North District Planning Office",S/NE-KLW/2,Ko Lau Wan Outline Zoning Plan,ROZP,81
NE-KP,"Kuk Po, Fung Hang and Yung Shue Au","Kuk Po, Fung Hang and Yung Shue Au","Sha Tin, Tai Po & North District Planning Office",S/NE-KP/2,"Kuk Po, Fung Hang and Yung Shue Au Outline Zoning Plan",ROZP,82
NE-LCW,"Lai Chi Wo, Siu Tan and Sam A Tsuen","Lai Chi Wo, Siu Tan and Sam A Tsuen","Sha Tin, Tai Po & North District Planning Office",S/NE-LCW/2,"Lai Chi Wo, Siu Tan and Sam A Tsuen Outline Zoning Plan",ROZP,83
NE-LK,Luk Keng,Luk Keng & Wo Hang,"Sha Tin, Tai Po & North District Planning Office",S/NE-LK/11,Luk Keng & Wo Hang Outline Zoning Plan,ROZP,84
NE-LMH,Lin Ma Hang,Lin Ma Hang,"Sha Tin, Tai Po & North District Planning Office",S/NE-LMH/2,Lin Ma Hang Outline Zoning Plan,ROZP,85
NE-LT,Lam Tsuen,Lam Tsuen,"Sha Tin, Tai Po & North District Planning Office",S/NE-LT/11,Lam Tsuen Outline Zoning Plan,ROZP,86
NE-LYT,Lung Yeuk Tau & Kwan Tei South,Lung Yeuk Tau & Kwan Tei South,"Sha Tin, Tai Po & North District Planning Office",S/NE-LYT/17,Lung Yeuk Tau & Kwan Tei South Outline Zoning Plan,ROZP,87
NE-MKT,Man Kam To,Man Kam To,"Sha Tin, Tai Po & North District Planning Office",S/NE-MKT/4,Man Kam To Outline Zoning Plan,ROZP,88
NE-MTL,Ma Tso Lung and Hoo Hok Wai,Ma Tso Lung and Hoo Hok Wai,"Sha Tin, Tai Po & North District Planning Office",S/NE-MTL/3,Ma Tso Lung and Hoo Hok Wai Outline Zoning Plan,ROZP,89
NE-MUP,Man Uk Pin,Man Uk Pin,"Sha Tin, Tai Po & North District Planning Office",S/NE-MUP/11,Man Uk Pin Outline Zoning Plan,ROZP,90
NE-PC,Ping Chau,Ping Chau,"Sha Tin, Tai Po & North District Planning Office",S/NE-PC/1,Ping Chau Outline Zoning Plan,ROZP,91
NE-PK,Ping Kong,Ping Kong,"Sha Tin, Tai Po & North District Planning Office",S/NE-PK/11,Ping Kong Outline Zoning Plan,ROZP,92
NE-PSO,Pak Sha O,Pak Sha O,"Sha Tin, Tai Po & North District Planning Office",S/NE-PSO/2,Pak Sha O Outline Zoning Plan,ROZP,93
NE-SC,Sham Chung,Sham Chung,"Sha Tin, Tai Po & North District Planning Office",S/NE-SC/3,Sham Chung Outline Zoning Plan,ROZP,94
NE-SLP,So Lo Pun,So Lo Pun,"Sha Tin, Tai Po & North District Planning Office",S/NE-SLP/3,So Lo Pun Outline Zoning Plan,ROZP,95
NE-SLT,Sha Lo Tung,Sha Lo Tung,"Sha Tin, Tai Po & North District Planning Office",S/NE-SLT/4,Sha Lo Tung Outline Zoning Plan,ROZP,96
NE-SSH,Shap Sz Heung,Shap Sz Heung,"Sha Tin, Tai Po & North District Planning Office",S/NE-SSH/11,Shap Sz Heung Outline Zoning Plan,ROZP,97
NE-STK,Sha Tau Kok,Sha Tau Kok,"Sha Tin, Tai Po & North District Planning Office",S/NE-STK/2,Sha Tau Kok Outline Zoning Plan,ROZP,98
NE-TK,Ting Kok,Ting Kok,"Sha Tin, Tai Po & North District Planning Office",S/NE-TK/19,Ting Kok Outline Zoning Plan,ROZP,99
NE-TKL,Ping Che & Ta Kwu Ling,Ping Che & Ta Kwu Ling,"Sha Tin, Tai Po & North District Planning Office",S/NE-TKL/14,Ping Che & Ta Kwu Ling Outline Zoning Plan,ROZP,100
NE-TKLN,Ta Kwu Ling North,Ta Kwu Ling North,"Sha Tin, Tai Po & North District Planning Office",S/NE-TKLN/2,Ta Kwu Ling North Outline Zoning Plan,ROZP,101
NE-TKP,To Kwa Peng and Pak Tam Au,To Kwa Peng and Pak Tam Au,"Sha Tin, Tai Po & North District Planning Office",S/NE-TKP/2,To Kwa Peng and Pak Tam Au Outline Zoning Plan,ROZP,102
NE-TPK,Tai Po Kau,Tai Po Kau,"Sha Tin, Tai Po & North District Planning Office",S/NE-TPK/2,Tai Po Kau Outline Zoning Plan,ROZP,103
NE-TT,"Tai Tan, Uk Tau, Ko Tong and Ko Tong Ha Yeung","Tai Tan, Uk Tau, Ko Tong and Ko Tong Ha Yeung","Sha Tin, Tai Po & North District Planning Office",S/NE-TT/2,"Tai Tan, Uk Tau, Ko Tong and Ko Tong Ha Yeung Outline Zoning Plan",ROZP,104
NE-WKS,Wo Keng Shan,Wo Keng Shan,"Sha Tin, Tai Po & North District Planning Office",S/NE-WKS/10,Wo Keng Shan Outline Zoning Plan,ROZP,105
NE-WKT,Wu Kau Tang,Wu Kau Tang,"Sha Tin, Tai Po & North District Planning Office",S/NE-WKT/6,Wu Kau Tang Outline Zoning Plan,ROZP,106
NE-YSO,Yung Shue O,Yung Shue O,"Sha Tin, Tai Po & North District Planning Office",S/NE-YSO/2,Yung Shue O Outline Zoning Plan,ROZP,107
NE-YTT,Yim Tin Tsai and Ma Shi Chau,Yim Tin Tsai and Ma Shi Chau,"Sha Tin, Tai Po & North District Planning Office",S/NE-YTT/2,Yim Tin Tsai and Ma Shi Chau Outline Zoning Plan,ROZP,108
ST-KYS,Kwun Yam Sha & Fa Sam Hang,Kwun Yam Sha & Fa Sam Hang,"Sha Tin, Tai Po & North District Planning Office",S/ST-KYS/11,Kwun Yam Sha & Fa Sam Hang Outline Zoning Plan,ROZP,109
ST-MP,Mau Ping,Mau Ping,"Sha Tin, Tai Po & North District Planning Office",S/ST-MP/2,Mau Ping Outline Zoning Plan,ROZP,110
NE-KTS,Kwu Tung South,Kwu Tung South,"Fanling, Sheung Shui & Yuen Long East District Planning Office",S/NE-KTS/16,Kwu Tung South Outline Zoning Plan,ROZP,111
YL-KTN,Kam Tin North,Kam Tin North,"Fanling, Sheung Shui & Yuen Long East District Planning Office",S/YL-KTN/9,Kam Tin North Outline Zoning Plan,ROZP,112
YL-KTS,Kam Tin South,Kam Tin South,"Fanling, Sheung Shui & Yuen Long East District Planning Office",S/YL-KTS/15,Kam Tin South Outline Zoning Plan,ROZP,113
YL-MP,Mai Po & Fairview Park,Mai Po & Fairview Park,"Fanling, Sheung Shui & Yuen Long East District Planning Office",S/YL-MP/6,Mai Po & Fairview Park Outline Zoning Plan,ROZP,114
YL-NSW,Nam Sang Wai,Nam Sang Wai,"Fanling, Sheung Shui & Yuen Long East District Planning Office",S/YL-NSW/8,Nam Sang Wai Outline Zoning Plan,ROZP,115
YL-NTM,Ngau Tam Mei,Ngau Tam Mei,"Fanling, Sheung Shui & Yuen Long East District Planning Office",S/YL-NTM/12,Ngau Tam Mei Outline Zoning Plan,ROZP,116
YL-PH,Pat Heung,Pat Heung,"Fanling, Sheung Shui & Yuen Long East District Planning Office",S/YL-PH/11,Pat Heung Outline Zoning Plan,ROZP,117
YL-SK,Shek Kong,Shek Kong,"Fanling, Sheung Shui & Yuen Long East District Planning Office",S/YL-SK/9,Shek Kong Outline Zoning Plan,ROZP,118
YL-ST,San Tin,San Tin,"Fanling, Sheung Shui & Yuen Long East District Planning Office",S/YL-ST/8,San Tin Outline Zoning Plan,ROZP,119
I-LWKS,Luk Wu and Keung Shan,Luk Wu and Keung Shan,Sai Kung & Islands District Planning Office,S/I-LWKS/2,Luk Wu and Keung Shan Outline Zoning Plan,ROZP,120
I-MWF,Mui Wo Fringe,Mui Wo Fringe,Sai Kung & Islands District Planning Office,S/I-MWF/10,Mui Wo Fringe Outline Zoning Plan,ROZP,121
I-NP,Ngong Ping,Ngong Ping,Sai Kung & Islands District Planning Office,S/I-NP/6,Ngong Ping Outline Zoning Plan,ROZP,122
I-PTI,Po Toi Islands,Po Toi Islands,Sai Kung & Islands District Planning Office,S/I-PTI/2,Po Toi Islands Outline Zoning Plan,ROZP,123
I-TH,Tai Ho,Tai Ho,Sai Kung & Islands District Planning Office,S/I-TH/1,Tai Ho Outline Zoning Plan,ROZP,124
I-TCV,Tung Chung Valley,Tung Chung Valley,Sai Kung & Islands District Planning Office,S/I-TCV/2,Tung Chung Valley Outline Zoning Plan,ROZP,125
I-TOF,Tai O Fringe,Tai O Fringe,Sai Kung & Islands District Planning Office,S/I-TOF/2,Tai O Fringe Outline Zoning Plan,ROZP,126
I-YO,YI O,Yi O,Sai Kung & Islands District Planning Office,S/I-YO/2,YI O Outling Zoning Plan,ROZP,127
SK-CWBN,Clear Water Bay,Clear Water Bay Peninsula North,Sai Kung & Islands District Planning Office,S/SK-CWBN/6,Clear Water Bay Peninsula North Outline Zoning Plan,ROZP,128
SK-CWBS,Clear Water Bay,Clear Water Bay Peninsula South,Sai Kung & Islands District Planning Office,S/SK-CWBS/2,Clear Water Bay Peninsula South Outline Zoning Plan,ROZP,129
SK-HC,Ho Chung,Ho Chung,Sai Kung & Islands District Planning Office,S/SK-HC/11,Ho Chung Outline Zoning Plan,ROZP,130
SK-HH,Hebe Haven,Hebe Haven,Sai Kung & Islands District Planning Office,S/SK-HH/8,Hebe Haven Outline Zoning Plan,ROZP,131
SK-PK,Pak Kong & Sha Kok Mei,Pak Kong & Sha Kok Mei,Sai Kung & Islands District Planning Office,S/SK-PK/11,Pak Kong & Sha Kok Mei Outline Zoning Plan,ROZP,132
SK-PL,Pak Lap,Pak Lap,Sai Kung & Islands District Planning Office,S/SK-PL/3,Pak Lap Outline Zoning Plan,ROZP,133
SK-TA,Tung A and Pak A,Tung A and Pak A,Sai Kung & Islands District Planning Office,S/SK-TA/2,Tung A and Pak A Outline Zoning Plan,ROZP,134
SK-TLS,Tseng Lan Shue,Tseng Lan Shue,Sai Kung & Islands District Planning Office,S/SK-TLS/8,Tseng Lan Shue Outline Zoning Plan,ROZP,135
SK-TLW,Tai Long Wan,Tai Long Wan,Sai Kung & Islands District Planning Office,S/SK-TLW/5,Tai Long Wan Outline Zoning Plan,ROZP,136
SK-TMT,Tai Mong Tsai,Tai Mong Tsai & Tsam Chuk Wan,Sai Kung & Islands District Planning Office,S/SK-TMT/4,Tai Mong Tsai & Tsam Chuk Wan Outline Zoning Plan,ROZP,137
TM-LTYY,Lam Tei ,Lam Tei and Yick Yuen,Tuen Mun & Yuen Long West District Planning Office,S/TM-LTYY/10,Lam Tei and Yick Yuen Outline Zoning Plan,ROZP,138
TM-SKW,So Kwun Wat,So Kwun Wat,Tuen Mun & Yuen Long West District Planning Office,S/TM-SKW/13,So Kwun Wat Outline Zoning Plan,ROZP,139
TM-TFT,Tin Fu Tsai,Tin Fu Tsai,Tuen Mun & Yuen Long West District Planning Office,S/TM-TFT/2,Tin Fu Tsai Outline Zoning Plan,ROZP,140
YL-HTF,Ha Tsuen Fringe,Ha Tsuen Fringe,Tuen Mun & Yuen Long West District Planning Office,S/YL-HTF/12,Ha Tsuen Fringe Outline Zoning Plan,ROZP,141
YL-LFS,Lau Fau Shan,Lau Fau Shan & Tsim Bei Tsui,Tuen Mun & Yuen Long West District Planning Office,S/YL-LFS/9,Lau Fau Shan & Tsim Bei Tsui Outline Zoning Plan,ROZP,142
YL-PN,Sheung Pak Nai & Ha Pak Nai,Sheung Pak Nai & Ha Pak Nai,Tuen Mun & Yuen Long West District Planning Office,S/YL-PN/9,Sheung Pak Nai & Ha Pak Nai Outline Zoning Plan,ROZP,143
YL-PS,Ping Shan,Ping Shan,Tuen Mun & Yuen Long West District Planning Office,S/YL-PS/18,Ping Shan Outline Zoning Plan,ROZP,144
YL-TT,Tai Tong,Tai Tong,Tuen Mun & Yuen Long West District Planning Office,S/YL-TT/17,Tai Tong Outline Zoning Plan,ROZP,145
YL-TYST,Tong Yan San Tsuen,Tong Yan San Tsuen,Tuen Mun & Yuen Long West District Planning Office,S/YL-TYST/13,Tong Yan San Tsuen Outline Zoning Plan,ROZP,146
