resultId,raceId,driverId,constructorId,number,positionOrder,points,rank
592,46,4,1,1,4,5,3
593,46,9,2,10,5,4,4
594,46,23,7,11,6,3,9
595,46,3,3,16,7,2,6
596,46,5,4,4,8,1,8
597,46,17,9,15,9,0,7
598,46,15,7,12,10,0,12
599,46,14,9,14,11,0,14
600,46,21,4,3,12,0,15
601,46,13,6,5,13,0,11
602,46,25,3,17,14,0,13
603,46,11,8,22,15,0,10
604,46,20,5,19,16,0,16
605,46,16,12,20,17,0,19
606,46,22,11,8,18,0,17
607,46,24,5,18,19,0,20
608,46,19,8,23,20,0,18
609,46,18,11,7,21,0,21
610,46,29,12,21,22,0,22
611,47,13,6,5,1,10,2
612,47,8,6,6,2,8,1
613,47,4,1,1,3,6,4
614,47,2,2,9,4,5,5
615,47,1,1,2,5,4,3
616,47,5,4,4,6,3,7
617,47,3,3,16,7,2,6
618,47,9,2,10,8,1,11
619,47,21,4,3,9,0,9
620,47,14,9,14,10,0,13
621,47,25,3,17,11,0,8
622,47,23,7,11,12,0,12
623,47,18,11,7,13,0,10
624,47,19,8,23,14,0,17
625,47,24,5,18,15,0,16
626,47,15,7,12,16,0,14
627,47,22,11,8,17,0,15
628,47,11,8,22,18,0,18
629,47,20,5,19,19,0,19
630,47,29,12,21,20,0,22
631,47,16,12,20,21,0,20
632,47,17,9,15,22,0,21
633,48,4,1,1,1,10,1
634,48,1,1,2,2,8,2
635,48,8,6,6,3,6,3
636,48,2,2,9,4,5,4
637,48,9,2,10,5,4,5
638,48,3,3,16,6,3,8
639,48,5,4,4,7,2,7
640,48,18,11,7,8,1,9
641,48,17,9,15,9,0,13
642,48,22,11,8,10,0,12
643,48,15,7,12,11,0,10
644,48,21,4,3,12,0,14
645,48,25,3,17,13,0,16
646,48,19,8,23,14,0,17
647,48,23,7,11,15,0,15
648,48,11,8,22,16,0,11
649,48,24,5,18,17,0,19
650,48,20,5,19,18,0,18
651,48,16,12,20,19,0,20
652,48,29,12,21,20,0,21
653,48,13,6,5,21,0,6
654,48,14,9,14,22,0,\N
655,49,8,6,6,1,10,2
656,49,13,6,5,2,8,1
657,49,4,1,1,3,6,3
658,49,1,1,2,4,5,4
659,49,2,2,9,5,4,5
660,49,3,3,16,6,3,9
661,49,17,9,15,7,2,11
662,49,5,4,4,8,1,8
663,49,9,2,10,9,0,6
664,49,23,7,11,10,0,10
665,49,15,7,12,11,0,7
666,49,24,5,18,12,0,13
667,49,22,11,8,13,0,12
668,49,16,12,20,14,0,15
669,49,11,8,22,15,0,14
670,49,19,8,23,16,0,19
671,49,29,12,21,17,0,20
672,49,18,11,7,18,0,16
673,49,25,3,17,19,0,18
674,49,14,9,14,20,0,17
675,49,20,5,19,21,0,21
676,49,21,4,3,22,0,\N
677,50,1,1,2,1,10,1
678,50,5,4,4,2,8,9
679,50,8,6,6,3,6,8
680,50,14,9,14,4,5,11
681,50,21,4,3,5,4,12
682,50,13,6,5,6,3,7
683,50,9,2,10,7,2,4
684,50,16,12,20,8,1,18
685,50,24,5,18,9,0,13
686,50,22,11,8,10,0,15
687,50,18,11,7,11,0,19
688,50,29,12,21,12,0,20
689,50,15,7,12,13,0,21
690,50,2,2,9,14,0,6
691,50,11,8,22,15,0,16
692,50,23,7,11,16,0,14
693,50,19,8,23,17,0,17
694,50,3,3,16,18,0,10
695,50,20,5,19,19,0,5
696,50,17,9,15,20,0,3
697,50,4,1,1,21,0,2
698,50,25,3,17,22,0,22
699,51,8,6,6,1,10,3
700,51,4,1,1,2,8,2
701,51,13,6,5,3,6,1
702,51,20,5,19,4,5,13
703,51,18,11,7,5,4,5
704,51,24,5,18,6,3,11
705,51,2,2,9,7,2,7
706,51,14,9,14,8,1,10
707,51,5,4,4,9,0,8
708,51,17,9,15,10,0,9
709,51,21,4,3,11,0,4
710,51,25,3,17,12,0,12
711,51,15,7,12,13,0,14
712,51,11,8,22,14,0,15
713,51,22,11,8,15,0,16
714,51,3,3,16,16,0,6
715,51,29,12,21,17,0,17
716,51,9,2,10,18,0,18
717,51,1,1,2,19,0,19
718,51,23,7,11,20,0,20
719,51,16,12,20,21,0,21
720,51,19,8,23,22,0,22
721,52,8,6,6,1,10,1
722,52,13,6,5,2,8,3
723,52,4,1,1,3,6,6
724,52,3,3,16,4,5,7
725,52,9,2,10,5,4,4
726,52,2,2,9,6,3,10
727,52,1,1,2,7,2,2
728,52,15,7,12,8,1,8
729,52,14,9,14,9,0,13
730,52,6,3,17,10,0,5
731,52,23,7,11,11,0,9
732,52,11,8,22,12,0,19
733,52,24,5,18,13,0,11
734,52,19,8,23,14,0,14
735,52,16,12,20,15,0,20
736,52,22,11,8,16,0,17
737,52,5,4,4,17,0,18
738,52,20,5,19,18,0,16
739,52,18,11,7,19,0,12
740,52,17,9,15,20,0,15
741,52,29,12,21,21,0,21
742,52,21,4,3,22,0,22
743,53,4,4,1,1,10,3
744,53,30,6,5,2,8,2
745,53,8,1,3,3,6,8
746,53,18,11,12,4,5,5
747,53,31,1,4,5,4,7
748,53,17,3,9,6,3,4
749,53,3,3,10,7,2,1
750,53,32,9,15,8,1,10
751,53,13,6,6,9,0,6
752,53,14,9,14,10,0,11
753,53,24,5,20,11,0,12
754,53,2,2,16,12,0,14
755,53,26,5,21,13,0,9
756,53,23,7,7,14,0,16
757,53,22,11,11,15,0,15
758,53,15,7,8,16,0,18
759,53,33,13,18,17,0,19
760,53,11,8,22,18,0,20
761,53,34,8,23,19,0,21
762,53,35,2,17,20,0,13
763,53,21,4,2,21,0,17
764,53,27,13,19,22,0,\N
765,54,21,4,2,1,10,2
766,54,4,4,1,2,8,1
767,54,18,11,12,3,6,4
768,54,31,1,4,4,5,3
769,54,13,6,6,5,4,8
770,54,30,6,5,6,3,5
771,54,35,2,17,7,2,9
772,54,23,7,7,8,1,6
773,54,15,7,8,9,0,11
774,54,22,11,11,10,0,10
775,54,24,5,20,11,0,16
776,54,27,13,19,12,0,18
777,54,33,13,18,13,0,19
778,54,11,8,22,14,0,20
