_id,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,WARD,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LONGITUDE,LATITUDE,ID,PARKING_TYPE,FLANKING,BICYCLE_CAPACITY,SIZE_M,YEAR_INSTALLED,BY_LAW,DETAILS,OBJECTID,geometry
6739,20111213,22,Fort York Blvd,22 Fort York Blvd,M5V 3Z2,former Toronto,Toronto,Spadina-Fort York (10),,112001,20035046,22,,,,15826,,,-79.39419964,43.64056672,43,Bike Rack,Fort York Blvd,8,2.9,2017,N/A,,70,"{""type"": ""Point"", ""coordinates"": [-79.394196399307, 43.6405581341619]}"
6740,9942213,268,College St,268 College St,M5T 1S1,former Toronto,Toronto,University-Rosedale (11),,115001,14022731,268,,,,9765,,,-79.40051496,43.65814872,49,Bike Corral,College St,14,5.5,2016,NO,,71,"{""type"": ""Point"", ""coordinates"": [-79.4005149553641, 43.6581487248445]}"
6741,6292601,3530,Sheppard Ave E,3530 Sheppard Ave E,M1T 3K7,Scarborough,Toronto,Scarborough-Agincourt (22),Holy Spirit Catholic School,102003,6292597,3530,,,,6698,,,-79.30309947,43.78121636,56,Bike Rack,Sheppard Ave E,8,2.9,2014,N/A,,72,"{""type"": ""Point"", ""coordinates"": [-79.303096242086, 43.7812077532627]}"
6742,10223670,441,King St W,441 King St W,M5V 1K4,former Toronto,Toronto,Spadina-Fort York (10),,115001,10223667,441,,,,3780,,,-79.39567153,43.64514883,68,Bike Rack,King St W,8,2.9,2016,N/A,,73,"{""type"": ""Point"", ""coordinates"": [-79.3956715228578, 43.6451488396696]}"
6743,12107167,490,Bloor St W,490 Bloor St W,M5S 1X8,former Toronto,Toronto,University-Rosedale (11),,115001,12107157,490,,,,458,,,-79.40976545,43.66563692,73,Bike Rack,Albany Ave,8,2.9,2016,N/A,,74,"{""type"": ""Point"", ""coordinates"": [-79.4097622062528, 43.6656283409671]}"
6744,772852,509,Bloor St W,509 Bloor St W,M5S 1Y2,former Toronto,Toronto,University-Rosedale (11),,107010,1142919,509,,,,458,,,-79.40838924,43.66546948,79,Bike Rack,Borden St W,8,2.9,2017,N/A,,75,"{""type"": ""Point"", ""coordinates"": [-79.4083859964734, 43.66546090160741]}"
6745,8292528,666,Queen St E,666 Queen St E,M4M 1G8,former Toronto,Toronto,Toronto-Danforth (14),,107010,8292524,666,,,,4237,,,-79.35150051,43.65869889,92,Bike Rack,Munro St,8,2.9,2016,N/A,,76,"{""type"": ""Point"", ""coordinates"": [-79.3515005142531, 43.6586988939243]}"
6746,7389731,71,Second St,71 Second St,M8V 2X4,Etobicoke,Toronto,Etobicoke-Lakeshore (3),Second Street Junior Middle School,102001,7389724,71,,,,2447,,,-79.49976953,43.60367699,99,Bike Rack,Second St,8,2.9,2016,N/A,,77,"{""type"": ""Point"", ""coordinates"": [-79.4997662581739, 43.6036684223915]}"
6747,8293016,1485,Dupont St,1485 Dupont St,M6P 3S2,former Toronto,Toronto,Davenport (9),,115001,14013265,1485,,,,3343,,,-79.45019058,43.66579933,21,Bike Corral,Campbell Ave,14,5.5,2016,NO,,78,"{""type"": ""Point"", ""coordinates"": [-79.4501905747648, 43.6657993325492]}"
6748,828085,200,King St E,200 King St E,M5A 3W8,former Toronto,Toronto,Toronto Centre (13),,102007,1145266,200,,,,3779,,,-79.37018888,43.65110905,35,Bike Rack,Adelaide St E and Frederick St,16,2.9,2017,N/A,,79,"{""type"": ""Point"", ""coordinates"": [-79.3701856618948, 43.651100464233]}"
